taxon_id,scientific_name,common_name_original,taxonomy_class,generic_label,detector_name_specific,detector_name_broad,grounding_dino_prompt_primary,grounding_dino_prompt_recommended,grounding_dino_prompt_fallback,grounding_dino_prompt_generic,qwen_label_recommended,prompt_strategy,aliases
47516,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,fish,rainbow trout,trout,rainbow trout. fish.,trout. fish.,trout. fish.,fish.,trout,broad_head,rainbow trout|trout|fish
47518,Salmo trutta,Brown Trout,Actinopterygii,fish,brown trout,trout,brown trout. fish.,trout. fish.,trout. fish.,fish.,trout,broad_head,brown trout|trout|fish
55387,Esox lucius,Northern Pike,Actinopterygii,fish,northern pike,pike,northern pike. fish.,pike. fish.,pike. fish.,fish.,pike,broad_head,northern pike|pike|fish
58662,Semotilus atromaculatus,Creek Chub,Actinopterygii,fish,creek chub,chub,creek chub. fish.,chub. fish.,chub. fish.,fish.,chub,broad_head,creek chub|chub|fish
83290,Zanclus cornutus,Moorish Idol,Actinopterygii,fish,moorish idol,idol,moorish idol. fish.,idol. fish.,idol. fish.,fish.,idol,broad_head,moorish idol|idol|fish
49402,Abudefduf saxatilis,Atlantic Sergeant Major,Actinopterygii,fish,atlantic sergeant major,sergeant major,atlantic sergeant major. fish.,sergeant major. fish.,sergeant major. fish.,fish.,sergeant major,broad_head,atlantic sergeant major|sergeant major|fish
81554,Ictalurus punctatus,Channel Catfish,Actinopterygii,fish,channel catfish,catfish,channel catfish. fish.,catfish. fish.,catfish. fish.,fish.,catfish,broad_head,channel catfish|catfish|fish
58627,Perca flavescens,Yellow Perch,Actinopterygii,fish,yellow perch,perch,yellow perch. fish.,perch. fish.,perch. fish.,fish.,perch,broad_head,yellow perch|perch|fish
85365,Lepomis auritus,Redbreast Sunfish,Actinopterygii,fish,redbreast sunfish,sunfish,redbreast sunfish. fish.,sunfish. fish.,sunfish. fish.,fish.,sunfish,broad_head,redbreast sunfish|sunfish|fish
109062,Perca fluviatilis,European Perch,Actinopterygii,fish,european perch,perch,european perch. fish.,perch. fish.,perch. fish.,fish.,perch,broad_head,european perch|perch|fish
49594,Pomoxis nigromaculatus,Black Crappie,Actinopterygii,fish,black crappie,crappie,black crappie. fish.,crappie. fish.,crappie. fish.,fish.,crappie,broad_head,black crappie|crappie|fish
48403,Gasterosteus aculeatus,Threespine Stickleback,Actinopterygii,fish,threespine stickleback,stickleback,threespine stickleback. fish.,stickleback. fish.,stickleback. fish.,fish.,stickleback,broad_head,threespine stickleback|stickleback|fish
67629,Oligocottus maculosus,Tidepool Sculpin,Actinopterygii,fish,tidepool sculpin,sculpin,tidepool sculpin. fish.,sculpin. fish.,sculpin. fish.,fish.,sculpin,broad_head,tidepool sculpin|sculpin|fish
52313,Diodon hystrix,Spotted Porcupinefish,Actinopterygii,fish,spotted porcupinefish,porcupinefish,spotted porcupinefish. fish.,porcupinefish. fish.,porcupinefish. fish.,fish.,porcupinefish,broad_head,spotted porcupinefish|porcupinefish|fish
49403,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,Actinopterygii,fish,indo pacific sergeant major,sergeant major,indo pacific sergeant major. fish.,sergeant major. fish.,sergeant major. fish.,fish.,sergeant major,broad_head,indo pacific sergeant major|sergeant major|fish
49491,Thalassoma bifasciatum,Caribbean Bluehead Wrasse,Actinopterygii,fish,caribbean bluehead wrasse,wrasse,caribbean bluehead wrasse. fish.,wrasse. fish.,wrasse. fish.,fish.,wrasse,broad_head,caribbean bluehead wrasse|wrasse|fish
54191,Oncorhynchus tshawytscha,Chinook Salmon,Actinopterygii,fish,chinook salmon,salmon,chinook salmon. fish.,salmon. fish.,salmon. fish.,fish.,salmon,broad_head,chinook salmon|salmon|fish
81556,Catostomus commersonii,White Sucker,Actinopterygii,fish,white sucker,sucker,white sucker. fish.,sucker. fish.,sucker. fish.,fish.,sucker,broad_head,white sucker|sucker|fish
49509,Lutjanus griseus,Gray Snapper,Actinopterygii,fish,gray snapper,snapper,gray snapper. fish.,snapper. fish.,snapper. fish.,fish.,snapper,broad_head,gray snapper|snapper|fish
118682,Chromis chromis,Mediterranean Damselfish,Actinopterygii,fish,mediterranean damselfish,damselfish,mediterranean damselfish. fish.,damselfish. fish.,damselfish. fish.,fish.,damselfish,broad_head,mediterranean damselfish|damselfish|fish
187316,Cyprinus rubrofuscus,Amur Carp,Actinopterygii,fish,amur carp,carp,amur carp. fish.,carp. fish.,carp. fish.,fish.,carp,broad_head,amur carp|carp|fish
58633,Etheostoma caeruleum,Rainbow Darter,Actinopterygii,fish,rainbow darter,darter,rainbow darter. fish.,darter. fish.,darter. fish.,fish.,darter,broad_head,rainbow darter|darter|fish
52554,Symphodus tinca,East Atlantic Peacock Wrasse,Actinopterygii,fish,east atlantic peacock wrasse,wrasse,east atlantic peacock wrasse. fish.,wrasse. fish.,wrasse. fish.,fish.,wrasse,broad_head,east atlantic peacock wrasse|wrasse|fish
99544,Dorosoma cepedianum,American Gizzard Shad,Actinopterygii,fish,american gizzard shad,gizzard shad,american gizzard shad. fish.,gizzard shad. fish.,gizzard shad. fish.,fish.,gizzard shad,broad_head,american gizzard shad|gizzard shad|fish
113980,Thalassoma lunare,Moon Wrasse,Actinopterygii,fish,moon wrasse,wrasse,moon wrasse. fish.,wrasse. fish.,wrasse. fish.,fish.,wrasse,broad_head,moon wrasse|wrasse|fish
103901,Labroides dimidiatus,Bluestreak Cleaner Wrasse,Actinopterygii,fish,bluestreak cleaner wrasse,wrasse,bluestreak cleaner wrasse. fish.,wrasse. fish.,wrasse. fish.,fish.,wrasse,broad_head,bluestreak cleaner wrasse|wrasse|fish
49749,Aplodinotus grunniens,Freshwater Drum,Actinopterygii,fish,freshwater drum,drum,freshwater drum. fish.,drum. fish.,drum. fish.,fish.,drum,broad_head,freshwater drum|drum|fish
49303,Dascyllus trimaculatus,Three-spot Dascyllus,Actinopterygii,fish,three spot dascyllus,dascyllus,three spot dascyllus. fish.,dascyllus. fish.,dascyllus. fish.,fish.,dascyllus,broad_head,three spot dascyllus|dascyllus|fish
67658,Paracirrhites forsteri,Freckled Hawkfish,Actinopterygii,fish,freckled hawkfish,hawkfish,freckled hawkfish. fish.,hawkfish. fish.,hawkfish. fish.,fish.,hawkfish,broad_head,freckled hawkfish|hawkfish|fish
112118,Scardinius erythrophthalmus,Common Rudd,Actinopterygii,fish,common rudd,rudd,common rudd. fish.,rudd. fish.,rudd. fish.,fish.,rudd,broad_head,common rudd|rudd|fish
123690,Caranx melampygus,Bluefin Trevally,Actinopterygii,fish,bluefin trevally,trevally,bluefin trevally. fish.,trevally. fish.,trevally. fish.,fish.,trevally,broad_head,bluefin trevally|trevally|fish
47527,Ostracion meleagris,Spotted Boxfish,Actinopterygii,fish,spotted boxfish,boxfish,spotted boxfish. fish.,boxfish. fish.,boxfish. fish.,fish.,boxfish,broad_head,spotted boxfish|boxfish|fish
83318,Arothron meleagris,Guineafowl Puffer,Actinopterygii,fish,guineafowl puffer,puffer,guineafowl puffer. fish.,puffer. fish.,puffer. fish.,fish.,puffer,broad_head,guineafowl puffer|puffer|fish
49378,Ostracion cubicum,Yellow Boxfish,Actinopterygii,fish,yellow boxfish,boxfish,yellow boxfish. fish.,boxfish. fish.,boxfish. fish.,fish.,boxfish,broad_head,yellow boxfish|boxfish|fish
67963,Thalassoma hardwicke,Sixbar Wrasse,Actinopterygii,fish,sixbar wrasse,wrasse,sixbar wrasse. fish.,wrasse. fish.,wrasse. fish.,fish.,wrasse,broad_head,sixbar wrasse|wrasse|fish
69989,Rutilus rutilus,Common Roach,Actinopterygii,fish,common roach,roach,common roach. fish.,roach. fish.,roach. fish.,fish.,roach,broad_head,common roach|roach|fish
84175,Scarus ghobban,Blue-barred Parrotfish,Actinopterygii,fish,blue barred parrotfish,parrotfish,blue barred parrotfish. fish.,parrotfish. fish.,parrotfish. fish.,fish.,parrotfish,broad_head,blue barred parrotfish|parrotfish|fish
109885,Poecilia latipinna,Sailfin Molly,Actinopterygii,fish,sailfin molly,molly,sailfin molly. fish.,molly. fish.,molly. fish.,fish.,molly,broad_head,sailfin molly|molly|fish
48743,Chaetodon lunulatus,Redfin Butterflyfish,Actinopterygii,fish,redfin butterflyfish,butterflyfish,redfin butterflyfish. fish.,butterflyfish. fish.,butterflyfish. fish.,fish.,butterflyfish,broad_head,redfin butterflyfish|butterflyfish|fish
48154,Sander vitreus,Walleye,Actinopterygii,fish,walleye,walleye,walleye. fish.,walleye. fish.,walleye. fish.,fish.,walleye,specific,walleye|fish
121324,Oreochromis niloticus,Nile Tilapia,Actinopterygii,fish,nile tilapia,tilapia,nile tilapia. fish.,tilapia. fish.,tilapia. fish.,fish.,tilapia,broad_head,nile tilapia|tilapia|fish
871060,Acanthurus tractus,Caribbean Ocean Surgeonfish,Actinopterygii,fish,caribbean ocean surgeonfish,surgeonfish,caribbean ocean surgeonfish. fish.,surgeonfish. fish.,surgeonfish. fish.,fish.,surgeonfish,broad_head,caribbean ocean surgeonfish|surgeonfish|fish
94635,Ariopsis felis,Hardhead Catfish,Actinopterygii,fish,hardhead catfish,catfish,hardhead catfish. fish.,catfish. fish.,catfish. fish.,fish.,catfish,broad_head,hardhead catfish|catfish|fish
123459,Pterois miles,Indian Lionfish,Actinopterygii,fish,indian lionfish,lionfish,indian lionfish. fish.,lionfish. fish.,lionfish. fish.,fish.,lionfish,broad_head,indian lionfish|lionfish|fish
118590,Muraena helena,Mediterranean Moray,Actinopterygii,fish,mediterranean moray,ray,mediterranean moray. fish.,ray. fish.,ray. fish.,fish.,ray,broad_head,mediterranean moray|ray|fish
58657,Ameiurus natalis,Yellow Bullhead,Actinopterygii,fish,yellow bullhead,bullhead,yellow bullhead. fish.,bullhead. fish.,bullhead. fish.,fish.,bullhead,broad_head,yellow bullhead|bullhead|fish
57743,Balistapus undulatus,Orangestripe Triggerfish,Actinopterygii,fish,orangestripe triggerfish,triggerfish,orangestripe triggerfish. fish.,triggerfish. fish.,triggerfish. fish.,fish.,triggerfish,broad_head,orangestripe triggerfish|triggerfish|fish
49219,Anguilla rostrata,American Eel,Actinopterygii,fish,american eel,eel,american eel. fish.,eel. fish.,eel. fish.,fish.,eel,broad_head,american eel|eel|fish
96631,Campostoma anomalum,Central Stoneroller,Actinopterygii,fish,central stoneroller,stoneroller,central stoneroller. fish.,stoneroller. fish.,stoneroller. fish.,fish.,stoneroller,broad_head,central stoneroller|stoneroller|fish
51402,Megalops atlanticus,Atlantic Tarpon,Actinopterygii,fish,atlantic tarpon,tarpon,atlantic tarpon. fish.,tarpon. fish.,tarpon. fish.,fish.,tarpon,broad_head,atlantic tarpon|tarpon|fish
311414,Tetractenos glaber,Smooth Toadfish,Actinopterygii,fish,smooth toadfish,toadfish,smooth toadfish. fish.,toadfish. fish.,toadfish. fish.,fish.,toadfish,broad_head,smooth toadfish|toadfish|fish
54441,Echidna nebulosa,Snowflake Moray,Actinopterygii,fish,snowflake moray,ray,snowflake moray. fish.,ray. fish.,ray. fish.,fish.,ray,broad_head,snowflake moray|ray|fish
83297,Scarus rubroviolaceus,Redlip Parrotfish,Actinopterygii,fish,redlip parrotfish,parrotfish,redlip parrotfish. fish.,parrotfish. fish.,parrotfish. fish.,fish.,parrotfish,broad_head,redlip parrotfish|parrotfish|fish
101053,Fundulus diaphanus,Banded Killifish,Actinopterygii,fish,banded killifish,killifish,banded killifish. fish.,killifish. fish.,killifish. fish.,fish.,killifish,broad_head,banded killifish|killifish|fish
52456,Cephalopholis argus,Peacock Grouper,Actinopterygii,fish,peacock grouper,grouper,peacock grouper. fish.,grouper. fish.,grouper. fish.,fish.,grouper,broad_head,peacock grouper|grouper|fish
84498,Rhinichthys obtusus,Western Blacknose Dace,Actinopterygii,fish,western blacknose dace,dace,western blacknose dace. fish.,dace. fish.,dace. fish.,fish.,dace,broad_head,western blacknose dace|dace|fish
111389,Pygoplites diacanthus,Regal Angelfish,Actinopterygii,fish,regal angelfish,angelfish,regal angelfish. fish.,angelfish. fish.,angelfish. fish.,fish.,angelfish,broad_head,regal angelfish|angelfish|fish
210294,Lipophrys pholis,Shanny,Actinopterygii,fish,shanny,shanny,shanny. fish.,shanny. fish.,shanny. fish.,fish.,shanny,specific,shanny|fish
109536,Pimephales promelas,Fathead Minnow,Actinopterygii,fish,fathead minnow,minnow,fathead minnow. fish.,minnow. fish.,minnow. fish.,fish.,minnow,broad_head,fathead minnow|minnow|fish
52451,Naso lituratus,Pacific Orange-spine Unicornfish,Actinopterygii,fish,pacific orange spine unicornfish,unicornfish,pacific orange spine unicornfish. fish.,unicornfish. fish.,unicornfish. fish.,fish.,unicornfish,broad_head,pacific orange spine unicornfish|unicornfish|fish
49601,Mola mola,Common Mola,Actinopterygii,fish,common mola,mola,common mola. fish.,mola. fish.,mola. fish.,fish.,mola,broad_head,common mola|mola|fish
128750,Sciaenops ocellatus,Red Drum,Actinopterygii,fish,red drum,drum,red drum. fish.,drum. fish.,drum. fish.,fish.,drum,broad_head,red drum|drum|fish
93137,Achoerodus viridis,Eastern Blue Groper,Actinopterygii,fish,eastern blue groper,groper,eastern blue groper. fish.,groper. fish.,groper. fish.,fish.,groper,broad_head,eastern blue groper|groper|fish
47292,Ocyurus chrysurus,Yellowtail Snapper,Actinopterygii,fish,yellowtail snapper,snapper,yellowtail snapper. fish.,snapper. fish.,snapper. fish.,fish.,snapper,broad_head,yellowtail snapper|snapper|fish
48747,Chaetodon vagabundus,Vagabond Butterflyfish,Actinopterygii,fish,vagabond butterflyfish,butterflyfish,vagabond butterflyfish. fish.,butterflyfish. fish.,butterflyfish. fish.,fish.,butterflyfish,broad_head,vagabond butterflyfish|butterflyfish|fish
82330,Caranx ruber,Bar Jack,Actinopterygii,fish,bar jack,jack,bar jack. fish.,jack. fish.,jack. fish.,fish.,jack,broad_head,bar jack|jack|fish
82278,Ameiurus melas,Black Bullhead,Actinopterygii,fish,black bullhead,bullhead,black bullhead. fish.,bullhead. fish.,bullhead. fish.,fish.,bullhead,broad_head,black bullhead|bullhead|fish
118685,Parablennius gattorugine,Tompot Blenny,Actinopterygii,fish,tompot blenny,blenny,tompot blenny. fish.,blenny. fish.,blenny. fish.,fish.,blenny,broad_head,tompot blenny|blenny|fish
49493,Thalassoma lucasanum,Cortez Rainbow Wrasse,Actinopterygii,fish,cortez rainbow wrasse,wrasse,cortez rainbow wrasse. fish.,wrasse. fish.,wrasse. fish.,fish.,wrasse,broad_head,cortez rainbow wrasse|wrasse|fish
69922,Oncorhynchus nerka,Sockeye Salmon,Actinopterygii,fish,sockeye salmon,salmon,sockeye salmon. fish.,salmon. fish.,salmon. fish.,fish.,salmon,broad_head,sockeye salmon|salmon|fish
68640,Haletta semifasciata,Blue Weed-whiting,Actinopterygii,fish,blue weed whiting,whiting,blue weed whiting. fish.,whiting. fish.,whiting. fish.,fish.,whiting,broad_head,blue weed whiting|whiting|fish
58659,Hypentelium nigricans,Northern Hog Sucker,Actinopterygii,fish,northern hog sucker,sucker,northern hog sucker. fish.,sucker. fish.,sucker. fish.,fish.,sucker,broad_head,northern hog sucker|sucker|fish
52464,Melichthys niger,Black Triggerfish,Actinopterygii,fish,black triggerfish,triggerfish,black triggerfish. fish.,triggerfish. fish.,triggerfish. fish.,fish.,triggerfish,broad_head,black triggerfish|triggerfish|fish
84432,Morone americana,White Perch,Actinopterygii,fish,white perch,perch,white perch. fish.,perch. fish.,perch. fish.,fish.,perch,broad_head,white perch|perch|fish
58639,Culaea inconstans,Brook Stickleback,Actinopterygii,fish,brook stickleback,stickleback,brook stickleback. fish.,stickleback. fish.,stickleback. fish.,fish.,stickleback,broad_head,brook stickleback|stickleback|fish
107572,Oncorhynchus keta,Chum Salmon,Actinopterygii,fish,chum salmon,salmon,chum salmon. fish.,salmon. fish.,salmon. fish.,fish.,salmon,broad_head,chum salmon|salmon|fish
49210,Plotosus lineatus,Striped Eel Catfish,Actinopterygii,fish,striped eel catfish,catfish,striped eel catfish. fish.,catfish. fish.,catfish. fish.,fish.,catfish,broad_head,striped eel catfish|catfish|fish
132366,Acanthurus xanthopterus,Yellowfin Surgeonfish,Actinopterygii,fish,yellowfin surgeonfish,surgeonfish,yellowfin surgeonfish. fish.,surgeonfish. fish.,surgeonfish. fish.,fish.,surgeonfish,broad_head,yellowfin surgeonfish|surgeonfish|fish
179880,Chromis viridis,Blue-green Chromis,Actinopterygii,fish,blue green chromis,chromis,blue green chromis. fish.,chromis. fish.,chromis. fish.,fish.,chromis,broad_head,blue green chromis|chromis|fish
93611,Alburnus alburnus,Bleak,Actinopterygii,fish,bleak,bleak,bleak. fish.,bleak. fish.,bleak. fish.,fish.,bleak,specific,bleak|fish
52460,Tylosurus crocodilus,Houndfish,Actinopterygii,fish,houndfish,houndfish,houndfish. fish.,houndfish. fish.,houndfish. fish.,fish.,houndfish,specific,houndfish|fish
173412,Poecilia reticulata,Guppy,Actinopterygii,fish,guppy,guppy,guppy. fish.,guppy. fish.,guppy. fish.,fish.,guppy,specific,guppy|fish
65979,Lithobates catesbeianus,American Bullfrog,Amphibia,amphibian,american bullfrog,bullfrog,american bullfrog. amphibian.,bullfrog. amphibian.,bullfrog. amphibian.,amphibian.,bullfrog,broad_head,american bullfrog|bullfrog|amphibian
27186,Plethodon cinereus,Eastern Red-backed Salamander,Amphibia,amphibian,eastern red backed salamander,salamander,eastern red backed salamander. amphibian.,salamander. amphibian.,salamander. amphibian.,amphibian.,salamander,broad_head,eastern red backed salamander|salamander|amphibian
326296,Bufo bufo,European Toad,Amphibia,amphibian,european toad,toad,european toad. amphibian.,toad. amphibian.,toad. amphibian.,amphibian.,toad,broad_head,european toad|toad|amphibian
24268,Pseudacris crucifer,Spring Peeper,Amphibia,amphibian,spring peeper,peeper,spring peeper. amphibian.,peeper. amphibian.,peeper. amphibian.,amphibian.,peeper,broad_head,spring peeper|peeper|amphibian
64970,Anaxyrus boreas,Western Toad,Amphibia,amphibian,western toad,toad,western toad. amphibian.,toad. amphibian.,toad. amphibian.,amphibian.,toad,broad_head,western toad|toad|amphibian
66002,Lithobates palustris,Pickerel Frog,Amphibia,amphibian,pickerel frog,frog,pickerel frog. amphibian.,frog. amphibian.,frog. amphibian.,amphibian.,frog,broad_head,pickerel frog|frog|amphibian
70421,Acris blanchardi,Blanchard's Cricket Frog,Amphibia,amphibian,cricket frog,cricket frog,cricket frog. amphibian.,cricket frog. amphibian.,cricket frog. amphibian.,amphibian.,cricket frog,specific,cricket frog|amphibian
60341,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,amphibian,southern leopard frog,frog,southern leopard frog. amphibian.,frog. amphibian.,frog. amphibian.,amphibian.,frog,broad_head,southern leopard frog|frog|amphibian
553515,Rhinella marina,Cane Toad,Amphibia,amphibian,cane toad,toad,cane toad. amphibian.,toad. amphibian.,toad. amphibian.,amphibian.,toad,broad_head,cane toad|toad|amphibian
1668922,Dryophytes chrysoscelis,Cope's Gray Tree Frog,Amphibia,amphibian,gray tree frog,tree frog,gray tree frog. amphibian.,tree frog. amphibian.,tree frog. amphibian.,amphibian.,tree frog,broad_head,gray tree frog|tree frog|amphibian
24230,Acris crepitans,Northern Cricket Frog,Amphibia,amphibian,northern cricket frog,cricket frog,northern cricket frog. amphibian.,cricket frog. amphibian.,cricket frog. amphibian.,amphibian.,cricket frog,broad_head,northern cricket frog|cricket frog|amphibian
556621,Bombina variegata,Yellow-bellied Toad,Amphibia,amphibian,yellow bellied toad,toad,yellow bellied toad. amphibian.,toad. amphibian.,toad. amphibian.,amphibian.,toad,broad_head,yellow bellied toad|toad|amphibian
23702,Agalychnis callidryas,Red-eyed Tree Frog,Amphibia,amphibian,red eyed tree frog,tree frog,red eyed tree frog. amphibian.,tree frog. amphibian.,tree frog. amphibian.,amphibian.,tree frog,broad_head,red eyed tree frog|tree frog|amphibian
25488,Rana arvalis,Moor Frog,Amphibia,amphibian,moor frog,frog,moor frog. amphibian.,frog. amphibian.,frog. amphibian.,amphibian.,frog,broad_head,moor frog|frog|amphibian
64377,Lissotriton helveticus,Palmate Newt,Amphibia,amphibian,palmate newt,newt,palmate newt. amphibian.,newt. amphibian.,newt. amphibian.,amphibian.,newt,broad_head,palmate newt|newt|amphibian
326303,Kaloula pulchra,Asian Painted Frog,Amphibia,amphibian,asian painted frog,painted frog,asian painted frog. amphibian.,painted frog. amphibian.,painted frog. amphibian.,amphibian.,painted frog,broad_head,asian painted frog|painted frog|amphibian
27486,Pseudotriton ruber,Red Salamander,Amphibia,amphibian,red salamander,salamander,red salamander. amphibian.,salamander. amphibian.,salamander. amphibian.,amphibian.,salamander,broad_head,red salamander|salamander|amphibian
22039,Limnodynastes peronii,Striped Marsh Frog,Amphibia,amphibian,striped marsh frog,frog,striped marsh frog. amphibian.,frog. amphibian.,frog. amphibian.,amphibian.,frog,broad_head,striped marsh frog|frog|amphibian
27718,Triturus cristatus,Great Crested Newt,Amphibia,amphibian,great crested newt,newt,great crested newt. amphibian.,newt. amphibian.,newt. amphibian.,amphibian.,newt,broad_head,great crested newt|newt|amphibian
24255,Pseudacris maculata,Boreal Chorus Frog,Amphibia,amphibian,boreal chorus frog,chorus frog,boreal chorus frog. amphibian.,chorus frog. amphibian.,chorus frog. amphibian.,amphibian.,chorus frog,broad_head,boreal chorus frog|chorus frog|amphibian
26695,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,amphibian,eastern spadefoot,spadefoot,eastern spadefoot. amphibian.,spadefoot. amphibian.,spadefoot. amphibian.,amphibian.,spadefoot,broad_head,eastern spadefoot|spadefoot|amphibian
67016,Rana draytonii,California Red-legged Frog,Amphibia,amphibian,california red legged frog,frog,california red legged frog. amphibian.,frog. amphibian.,frog. amphibian.,amphibian.,frog,broad_head,california red legged frog|frog|amphibian
27123,Eurycea lucifuga,Cave Salamander,Amphibia,amphibian,cave salamander,salamander,cave salamander. amphibian.,salamander. amphibian.,salamander. amphibian.,amphibian.,salamander,broad_head,cave salamander|salamander|amphibian
66479,Platyplectrum ornatum,Ornate Burrowing Frog,Amphibia,amphibian,ornate burrowing frog,burrowing frog,ornate burrowing frog. amphibian.,burrowing frog. amphibian.,burrowing frog. amphibian.,amphibian.,burrowing frog,broad_head,ornate burrowing frog|burrowing frog|amphibian
27500,Gyrinophilus porphyriticus,Spring Salamander,Amphibia,amphibian,spring salamander,salamander,spring salamander. amphibian.,salamander. amphibian.,salamander. amphibian.,amphibian.,salamander,broad_head,spring salamander|salamander|amphibian
65828,Incilius alvarius,Sonoran Desert Toad,Amphibia,amphibian,sonoran desert toad,toad,sonoran desert toad. amphibian.,toad. amphibian.,toad. amphibian.,amphibian.,toad,broad_head,sonoran desert toad|toad|amphibian
22038,Limnodynastes dumerilii,Eastern Banjo Frog,Amphibia,amphibian,eastern banjo frog,frog,eastern banjo frog. amphibian.,frog. amphibian.,frog. amphibian.,amphibian.,frog,broad_head,eastern banjo frog|frog|amphibian
66264,Odorrana swinhoana,Swinhoe's frog,Amphibia,amphibian,frog,frog,frog. amphibian.,frog. amphibian.,frog. amphibian.,amphibian.,frog,specific,frog|amphibian
66131,Microhyla fissipes,East Asian Ornate Chorus Frog,Amphibia,amphibian,east asian ornate chorus frog,chorus frog,east asian ornate chorus frog. amphibian.,chorus frog. amphibian.,chorus frog. amphibian.,amphibian.,chorus frog,broad_head,east asian ornate chorus frog|chorus frog|amphibian
1668953,Dryophytes femoralis,Pine Woods Tree Frog,Amphibia,amphibian,pine woods tree frog,tree frog,pine woods tree frog. amphibian.,tree frog. amphibian.,tree frog. amphibian.,amphibian.,tree frog,broad_head,pine woods tree frog|tree frog|amphibian
27474,Batrachoseps nigriventris,Black-bellied Slender Salamander,Amphibia,amphibian,black bellied slender salamander,salamander,black bellied slender salamander. amphibian.,salamander. amphibian.,salamander. amphibian.,amphibian.,salamander,broad_head,black bellied slender salamander|salamander|amphibian
64973,Anaxyrus cognatus,Great Plains Toad,Amphibia,amphibian,great plains toad,toad,great plains toad. amphibian.,toad. amphibian.,toad. amphibian.,amphibian.,toad,broad_head,great plains toad|toad|amphibian
26651,Kurixalus idiootocus,Temple Tree Frog,Amphibia,amphibian,temple tree frog,tree frog,temple tree frog. amphibian.,tree frog. amphibian.,tree frog. amphibian.,amphibian.,tree frog,broad_head,temple tree frog|tree frog|amphibian
22036,Limnodynastes tasmaniensis,Spotted Marsh Frog,Amphibia,amphibian,spotted marsh frog,frog,spotted marsh frog. amphibian.,frog. amphibian.,frog. amphibian.,amphibian.,frog,broad_head,spotted marsh frog|frog|amphibian
