taxon_id,scientific_name,common_name_original,common_name_model,taxonomy_class,generic_label,grounding_dino_prompt,qwen_label,yolo_open_vocab_label,aliases
47516,Oncorhynchus mykiss,Rainbow Trout,rainbow trout,Actinopterygii,fish,rainbow trout. fish.,rainbow trout,rainbow trout,rainbow trout|fish
47518,Salmo trutta,Brown Trout,brown trout,Actinopterygii,fish,brown trout. fish.,brown trout,brown trout,brown trout|fish
55387,Esox lucius,Northern Pike,northern pike,Actinopterygii,fish,northern pike. fish.,northern pike,northern pike,northern pike|fish
58662,Semotilus atromaculatus,Creek Chub,creek chub,Actinopterygii,fish,creek chub. fish.,creek chub,creek chub,creek chub|fish
83290,Zanclus cornutus,Moorish Idol,moorish idol,Actinopterygii,fish,moorish idol. fish.,moorish idol,moorish idol,moorish idol|fish
49402,Abudefduf saxatilis,Atlantic Sergeant Major,atlantic sergeant major,Actinopterygii,fish,atlantic sergeant major. fish.,atlantic sergeant major,atlantic sergeant major,atlantic sergeant major|fish
81554,Ictalurus punctatus,Channel Catfish,channel catfish,Actinopterygii,fish,channel catfish. fish.,channel catfish,channel catfish,channel catfish|fish
58627,Perca flavescens,Yellow Perch,yellow perch,Actinopterygii,fish,yellow perch. fish.,yellow perch,yellow perch,yellow perch|fish
85365,Lepomis auritus,Redbreast Sunfish,redbreast sunfish,Actinopterygii,fish,redbreast sunfish. fish.,redbreast sunfish,redbreast sunfish,redbreast sunfish|fish
109062,Perca fluviatilis,European Perch,european perch,Actinopterygii,fish,european perch. fish.,european perch,european perch,european perch|fish
49594,Pomoxis nigromaculatus,Black Crappie,black crappie,Actinopterygii,fish,black crappie. fish.,black crappie,black crappie,black crappie|fish
48403,Gasterosteus aculeatus,Threespine Stickleback,threespine stickleback,Actinopterygii,fish,threespine stickleback. fish.,threespine stickleback,threespine stickleback,threespine stickleback|fish
67629,Oligocottus maculosus,Tidepool Sculpin,tidepool sculpin,Actinopterygii,fish,tidepool sculpin. fish.,tidepool sculpin,tidepool sculpin,tidepool sculpin|fish
52313,Diodon hystrix,Spotted Porcupinefish,spotted porcupinefish,Actinopterygii,fish,spotted porcupinefish. fish.,spotted porcupinefish,spotted porcupinefish,spotted porcupinefish|fish
49403,Abudefduf vaigiensis,Indo-Pacific Sergeant Major,indo pacific sergeant major,Actinopterygii,fish,indo pacific sergeant major. fish.,indo pacific sergeant major,indo pacific sergeant major,indo pacific sergeant major|fish
49491,Thalassoma bifasciatum,Caribbean Bluehead Wrasse,caribbean bluehead wrasse,Actinopterygii,fish,caribbean bluehead wrasse. fish.,caribbean bluehead wrasse,caribbean bluehead wrasse,caribbean bluehead wrasse|fish
